Name	Set	ImageFile	CardType	CorpsSymbol	Price	ClashPoints	MSType	Dock Pilot	Limited	Unique	Preemptive Strike
Gundam Deathscythe-1	set1	MS_003_Gundam_Deathscythe	Mobile Suits	WG	3	3				Y	
Gundam Heavyarms-1	set1	MS_004_Gundam_Heavyarms	Mobile Suits	WG	3	3				Y	
Gundam Sandrock-1	set1	MS_005_Gundam_Sandrock	Mobile Suits	WG	3	3	Sand			Y	
Shenlong Gundam-1	set1	MS_006_Shenlong_Gundam	Mobile Suits	WG	3	3				Y	
Maganac-1	set1	MS_007_Maganac	Mobile Suits	WG	3	3	Sand				
Maganac-2	set1	MS_008_Maganac	Mobile Suits	WG	2	2	Sand				
Oliphant	set1	MS_009_Oliphant	Mobile Suits	WG	2	3	Sand				
Taurus-1	set1	MS_010_Taurus	Mobile Suits	WG	3	4					
Leo-1	set1	MS_011_Leo	Mobile Suits	WG	2	2					
Peacemillion	set1	MS_012_Peacemillion	Mobile Suits	WG	2	2				Y	
Gundam Epyon-1	set1	MS_013_Gundam_Epyon	Mobile Suits	Oz	6	5				Y	
Tallgeese-1	set1	MS_014_Tallgeese	Mobile Suits	Oz	3	3				Y	Y
Tallgeese II-1	set1	MS_015_Tallgeese_II	Mobile Suits	Oz	4	4				Y	Y
Leo-2	set1	MS_016_Leo	Mobile Suits	Oz	2	3					
Aries (Flying Mode)-1	set1	MS_017_Aries_Flying_Mode	Mobile Suits	Oz	3	3					Y
Pieces (M.S. Mode)	set1	MS_018_Pisces_ms_mode	Mobile Suits	Oz	2	2	Sea				
Cancer	set1	MS_019_Cancer	Mobile Suits	Oz	3	2	Sea				
Tragos (Hover Mode)-1	set1	MS_020_Tragos_Hover_Mode	Mobile Suits	Oz	2	3					
Taurus-2	set1	MS_021_Taurus	Mobile Suits	Oz	3	4					
Vayeate-1	set1	MS_022_Vayeate	Mobile Suits	Oz	4	4				Y	
Mercurius-1	set1	MS_023_Mercurius	Mobile Suits	Oz	4	4				Y	
Virgo-1	set1	MS_024_Virgo	Mobile Suits	Oz	3	4					
Wing Gundam Zero	set1	MS_025_Wing_Gundam_Zero	Mobile Suits	WG	5	5				Y	
Wing Gundam Zero (Bird Mode)	set1	MS_026_Wing_Gundam_Zero_Bird_Mode	Mobile Suits	WG	4	4				Y	
Gundam Deathscythe H.	set1	MS_027_Gundam_Deathscythe_Hell	Mobile Suits	WG	4	4				Y	
Gundam Heavyarms Custom-1	set1	MS_028_Gundam_Heavyarms_custom	Mobile Suits	WG	4	4				Y	
Gundam Sandrock Custom-1	set1	MS_029_Gundam_Sandrock_Custom	Mobile Suits	WG	4	4				Y	
Altron Gundam-1	set1	MS_030_Altron_Gundam	Mobile Suits	WG	4	4				Y	
Wing Gundam-2	set1	MS_031_Wing_Gundam	Mobile Suits	WG	4	4				Y	
Wing Gundam (Bird Mode)-2	set1	MS_032_Wing_Gundam_bird_mode	Mobile Suits	WG	3	3				Y	Y
Gundam Deathscythe-2	set1	MS_033_Gundam_Deathscythe	Mobile Suits	WG	3	3				Y	
Gundam Heavyarms-2	set1	MS_034_Gundam_Heavyarms	Mobile Suits	WG	3	3				Y	
Gundam Sandrock-2	set1	MS_035_Gundam_Sandrock	Mobile Suits	WG	3	3					
Shenlong Gundam-2	set1	MS_036_Shenlong_Gundam	Mobile Suits	WG	3	3					
Vayeate (Inncomplete)	set1	MS_037_Vayeate_Incomplete	Mobile Suits	WG	2	4					
Mercurius (Incomplete)	set1	MS_038_Mercurius_Incomplete	Mobile Suits	WG	2	4					
Maganac-3	set1	MS_039_Maganac	Mobile Suits	WG	2	2	Sand				
Maganac-4	set1	MS_040_Maganac	Mobile Suits	WG	2	2	Sand				
Aries	set1	MS_041_Aries	Mobile Suits	WG	3	3	Sand				Y
Leo-3	set1	MS_042_Leo	Mobile Suits	WG	2	2					
The Shuttle	set1	MS_043_The_Shuttle	Mobile Suits	WG	2	1					
Oz Transport Plane	set1	MS_044_OZ_Transport_Plane	Mobile Suits	WG	1	1					
Transport Trailer	set1	MS_045_Transport_Trailer	Mobile Suits	WG	1	1					
Gundam Heavyarms-3	set1	MS_046_Gundam_Heavyarms	Mobile Suits	WG	3	3				Y	
Gundam Epyon-2	set1	MS_047_Gundam_Epyon	Mobile Suits	Oz	6	5				Y	
Gundam Epyon (Bird Mode)	set1	MS_048_Gundam_Epyon_Bird_Mode	Mobile Suits	Oz	4	3				Y	
Tallgeese-2	set1	MS_049_Tallgeese	Mobile Suits	Oz	3	3				Y	
Tallgeese II-2	set1	MS_050_Tallgeese_II	Mobile Suits	Oz	5	4			Y	Y	Y
Leo-4	set1	MS_051_Leo	Mobile Suits	Oz	2	2					Y
Leo-5	set1	MS_052_Leo	Mobile Suits	Oz	1	1					
Leo-6	set1	MS_053_Leo	Mobile Suits	Oz	2	2					
Aries (M.S. Mode)	set1	MS_054_Aries_ms_mode	Mobile Suits	Oz	2	3					
Aries (Flying Mode)-2	set1	MS_055_Aries_flying_mode	Mobile Suits	Oz	3	3					Y
Pisces (M.S. Mode)	set1	MS_056_Pisces_ms_mode	Mobile Suits	Oz	2	2	Sea				
Pisces (Cruising Mode)	set1	MS_057_Pisces_cruising_mode	Mobile Suits	Oz	2	2	Sea				
Cancer	set1	MS_058_Cancer	Mobile Suits	Oz	2	3	Sea				
Tragos (Hover Mode)-2	set1	MS_059_Tragos_hover_mode	Mobile Suits	Oz	2	3	Sand				
Tragos (M.S. Mode)	set1	MS_060_Tragos_ms_mode	Mobile Suits	Oz	3	3	Sand				
Taurus-3	set1	MS_061_Taurus	Mobile Suits	Oz	3	4					
Taurus (Flying Mode)	set1	MS_062_Taurus_flying_mode	Mobile Suits	Oz	3	3					Y
Vayeate-2	set1	MS_063_Vayeate	Mobile Suits	Oz	4	4				Y	
Mercurius-2	set1	MS_064_Mercurius	Mobile Suits	Oz	4	4				Y	
Virgo-2	set1	MS_065_Virgo	Mobile Suits	Oz	4	3					
Virgo II	set1	MS_066_Virgo_II	Mobile Suits	Oz	5	4					
Wing Gundam Zero Custom	set2	MS_067_Wing_Gundam_Zero_Custom	Mobile Suits	WG	5	5			Y	Y	
Gundam Deathscythe H. Custom	set2	MS_068_Gundam_DeathScythe_Hell_Custom	Mobile Suits	WG	5	5	Sea		Y	Y	
Gundam Heavyarms Custom-2	set2	MS_069_Gundam_Heavyarms_Custom	Mobile Suits	WG	5	5			Y	Y	
Gundam Sandrock Custom-2	set2	MS_070_Gundam_Sandrock_Custom	Mobile Suits	WG	5	5	Sand		Y	Y	
Altron Gundam-2	set2	MS_071_Altron_Gundam	Mobile Suits	Oz	5	5			Y	Y	
Tallgeese III	set2	MS_072_Tallgeese_III	Mobile Suits	WG	5	5				Y	Y
Taurus-4	set2	MS_073_Taurus	Mobile Suits	WG	4	4					
Preventer Shuttle	set2	MS_074_Preventer_Shuttle	Mobile Suits	WG	1	1					
Zero Transport Capsule	set2	MS_075_Zero_Transport_Capsule	Mobile Suits	WG	3	1				Y	Y
Taurus-5	set2	MS_076_Taurus	Mobile Suits	Oz	3	4					
Leo-7	set2	MS_077_Leo	Mobile Suits	Oz	2	1					
Leo-8	set2	MS_078_Leo	Mobile Suits	Oz	2	3					Y
Leo-9	set2	MS_079_Leo	Mobile Suits	Oz	2	3					Y
Serpent-1	set2	MS_080_Serpent	Mobile Suits	Oz	5	4					
Serpent-2	set2	MS_081_Serpent	Mobile Suits	Oz	5	4					
Serpent Transport Ship	set2	MS_082_Serpent_Transport_Ship	Mobile Suits	Oz	1	1					
Gundam	set3	MS_083_Gundam	Mobile Suits	EF	4	4	Sea			Y	
Guncannon	set3	MS_084_Guncannon	Mobile Suits	EF	4	4					
Guntank	set3	MS_085_Guntank	Mobile Suits	EF	4	4					
GM	set3	MS_086_GM	Mobile Suits	EF	2	2					
Core Fighter	set3	MS_087_Core_Fighter	Mobile Suits	EF	0	1					
G-Fighter	set3	MS_088_G-fighter	Mobile Suits	EF	2	2				Y	
G-Bull	set3	MS_089_G-Bull	Mobile Suits	EF	2	2				Y	
Ball	set3	MS_090_Ball	Mobile Suits	EF	1	1					
White Base	set3	MS_091_White_Base	Mobile Suits	EF	3	4				Y	
Magellan	set3	MS_092_Magellan	Mobile Suits	EF	2	2	Battleship			Y	
Big Tray	set3	MS_093_Big_Tray	Mobile Suits	EF	3	3	Battleship, Sand				
Medea	set3	MS_094_Medea	Mobile Suits	EF	1	1					
Char's Zaku	set3	MS_095_Char's_Zaku	Mobile Suits	PZ	4	4				Y	
Zaku I	set3	MS_096_Zaku_I	Mobile Suits	PZ	1	1					
Zaku II	set3	MS_097_Zaku_II	Mobile Suits	PZ	2	2					
Gouf	set3	MS_098_Gouf	Mobile Suits	PZ	3	3	Sand				
Dom	set3	MS_099_DOM	Mobile Suits	PZ	3	3					
Char's Z'Gok	set3	MS_100_Char's_Z'gok	Mobile Suits	PZ	4	3	Sea			Y	
Z'Gok	set3	MS_101_Z'gok	Mobile Suits	PZ	3	2	Sea				
Grublo	set3	MS_102_Grabro	Mobile Suits	PZ	5	4	Sea, Mobile Armor			Y	
Azzam	set3	MS_103_Azzam	Mobile Suits	PZ	4	4	Sand, Mobile Armor				
Acguy	set3	MS_104_acguy	Mobile Suits	PZ	3	2	Sea				
Dopp	set3	MS_105_dopp	Mobile Suits	PZ	1	1					
Char's Musai	set3	MS_106_char's_musai	Mobile Suits	PZ	2	2	Battleship			Y	
Gau	set3	MS_107_gau	Mobile Suits	PZ	3	3	Battleship				
Zanzibar	set3	MS_108_zanzibar	Mobile Suits	PZ	4	4	Battleship			Y	
Oz Mission 1	set1	oz_missions_01	Missions	Oz							
Oz Mission 2	set1	oz_missions_02	Missions	Oz							
Heero Yuy-1	set1	PL_001_heero_yuy	Pilot	WG	1						
Duo Maxwell-1	set1	PL_002_Duo_maxwell	Pilot	WG	1						
Trowa Barton-1	set1	PL_003_trowa_barton	Pilot	WG	1						
Quatre Raberba Winner-1	set1	PL_004_Quatre_raberba_winner	Pilot	WG	1						
Chang Wufei-1	set1	PL_005_chang_wufei	Pilot	WG	1						
Relena Darlian-1	set1	PL_006_relena_darlian	Pilot	WG	1			Y			
Sally Po-1	set1	PL_007_Sally_po	Pilot	WG	1						
Doctor J	set1	PL_008_doctor_j	Pilot	WG	1			Y	Y		
Zechs Merquise-1	set1	PL_009_zechs_merquise	Pilot	Oz	2						Y
Treize Khushrenada-1	set1	PL_010_treize_khushrenada	Pilot	Oz	1				Y		
Lady Une-1	set1	PL_011_lady_une	Pilot	Oz	1						
Lucrezia Noin-1	set1	PL_012_lucrezia_noin	Pilot	Oz	1						
Dorothy Catalonia-1	set1	PL_013_dorothy_catalonia	Pilot	Oz	1						
Tubarov-1	set1	PL_014_tubarov	Pilot	Oz	1						
Heero Yuy-2	set1	PL_015_heero_yuy	Pilot	WG	2						
Duo Maxwell-2	set1	PL_016_duo_maxwell	Pilot	WG	2						
Trowa Barton-2	set1	PL_017__trowa_barton	Pilot	WG	2						
Quatre Raberba Winner-2	set1	PL_018_quatre_raberba_winner	Pilot	WG	2						
Chang Wufei-2	set1	PL_019_chang_wufei	Pilot	WG	2						
Relena Peacecraft	set1	PL_020_Relena_peacecraft	Pilot	WG	2			Y			
Sally Po-2	set1	PL_021_Sally_Po	Pilot	WG	1						
Catherine Bloom	set1	PL_022_Catherine_bloom	Pilot	WG	1						
Howard	set1	PL_023_Howard	Pilot	WG	1						
Rasid Kurama	set1	PL_024_Rasid_Kurama	Pilot	WG	1						
Miniser Darlian	set1	PL_025_Minister_darlian	Pilot	WG	2			Y			
Professor G	set1	PL_026_Professor_g	Pilot	WG	2			Y			
Innsructor H	set1	PL_027_instructor_h	Pilot	WG	2			Y			
Milliardo Peacecraft	set1	PL_028_Milliardo_peacecraft	Pilot	Oz	2				Y		
Treize Khushrenada-2	set1	PL_029_Treiza_Knushrinada	Pilot	Oz	2						
Lady Une-2	set1	PL_030_Lady_une	Pilot	Oz	2						
Lucrezia Noin-2	set1	PL_031_Lucrezia_noin	Pilot	Oz	1						
Dorothy Catalonia-2	set1	PL_032_Dorothy_catalonia	Pilot	Oz	2						
Tubarov-2	set1	PL_033_Tubarov	Pilot	Oz	2						
Quinze	set1	PL_034_Quinze	Pilot	Oz	2			Y			
Otto	set1	PL_035_Otto	Pilot	Oz	1						
Duke Dermail	set1	PL_036_Duke_dermail	Pilot	Oz	1			Y	Y		
Muller	set1	PL_037_muller	Pilot	Oz	1						
Hilde Schbeiker	set1	PL_038_Hilde_Schbeiker	Pilot	Oz	1						
Heero Yuy-3	set2	PL_039_Heero_Yuy	Pilot	WG	2						Y
Duo Maxwell-3	set2	PL_040_Duo_maxwell	Pilot	WG	3						
Trowa Barton-3	set2	PL_041_trowa_barton	Pilot	Oz	2						
Quatre Raberba Winner-3	set2	PL_042_Quatre_raberba_winner	Pilot	WG	3						
Chang Wufei-3	set2	PL_043_Chang_Wufei	Pilot	Oz	2						
Zechs Merquise-2	set2	PL_044_Zechs_merquise	Pilot	WG	3						
Lady Une-3	set2	PL_045_Lady_Une	Pilot	WG	1						
Mariemaia Khushrenada	set2	PL_046_Marimaia_Khushrinada	Pilot	Oz	2			Y	Y		
Dekim Barton	set2	PL_047_Dekim_Barton	Pilot	Oz	4			Y	Y		
The Real Trowa Barton	set2	PL_048_the_real_trowa_barton	Pilot	Oz	2						
The President of Earth Sphere	set2	PL_049_the_president_of_earth_sphere	Pilot	WG	1			Y			
Relena Darlian-2	set2	PL_050_Relena_Darlian	Pilot	WG	2			Y			
Master O	set2	PL_051_Master_O	Pilot	WG	2			Y			
Doktor S	set2	PL_052_Doktor_S	Pilot	WG	2			Y			
Amuro Ray	set3	PL_053_Amuro_Ray	Pilot	EF	3		Newtype				
Sayla Mass	set3	PL_054_Sayla_mass	Pilot	EF	2		Newtype				
Kai Shiden	set3	PL_055_Kai_Shiden	Pilot	EF	2						
Hayato Kobayashi	set3	PL_056_Hayato_kobayashi	Pilot	EF	2						
Bright Noah	set3	PL_057_Bright_Noah	Pilot	EF	2						
Marai Yashima	set3	PL_058_Mirai_yashima	Pilot	EF	1						
Ryu Jose	set3	PL_059_Ryu_Jose	Pilot	EF	2						
Matilda Ajan	set3	PL_060_Matilda_ajan	Pilot	EF	1						
Char Aznable	set3	PL_061_char_aznable	Pilot	PZ	3		Newtype				
Garma Zabi	set3	PL_062_Garma_zabi	Pilot	PZ	2						
Ranba Ral	set3	PL_063_ranba_ral	Pilot	PZ	2						
Clawle Hamon	set3	PL_064_Clawle_hamon	Pilot	PZ	2						
Ma Kube	set3	PL_065_Ma_Kube	Pilot	PZ	2						
The Black Trinary	set3	PL_066_the_black_trinary	Pilot	PZ	2						
Flanagan Boone	set3	PL_067_Flanagan_boone	Pilot	PZ	1						
Wing Gundam Mission 1	set1	wing_team_missions_01	Missions	WG							
Wing Gundam Mission 2	set1	wing_team_missions_02	Missions	WG							
